CALDB environment variable = /opt/local/HEA/chandra/CALDB
             CALDB version = 4.5.5.1
             release date  = 2013-01-08T17:00:00 UTC
CALDB query completed successfully.
 
--------------------------------------------------------------------------------
Data for Table Block LIGHTCURVE
--------------------------------------------------------------------------------
 
ROW    TIME                 COUNT_RATE           COUNT_RATE_ERR
  8536  75138127.9134429991     0.31249999939449     0.31249999939449
  8537  75138131.1544830203                    0                    0
  8538  75138134.3955230117                    0                    0
  8539  75138137.6365630031                    0                    0
  8540  75138140.8776029944                    0                    0
  8541  75138144.1186430156                    0                    0
  8542  75138147.3596830070     0.31249999939449     0.31249999939449
  8543  75138150.6007229984                    0                    0
  8544  75138153.8417630196     0.31249999939449     0.31249999939449
  8545  75138157.0828030109                    0                    0
  8546  75138160.3238430023     0.31249999939449     0.31249999939449
  8547  75138163.5648829937                    0                    0
  8548  75138166.8059230149                    0                    0
  8549  75138170.0469630063                    0                    0
  8550  75138173.2880029976                    0                    0
  8551  75138176.5290430188                    0                    0
  8552  75138179.7700830102                    0                    0
  8553  75138183.0111230016                    0                    0
  8554  75138186.2521629930                    0                    0
  8555  75138189.4932030141                    0                    0
  8556  75138192.7342430055                    0                    0
  8557  75138195.9752829969                    0                    0
  8558  75138199.2163230181     0.31249999939449     0.31249999939449
  8559  75138202.4573630095                    0                    0
  8560  75138205.6984030008                    0                    0
  8561  75138208.9394429922                    0                    0
  8562  75138212.1804830134                    0                    0
  8563  75138215.4215230048                    0                    0
  8564  75138218.6625629961     0.31249999939449     0.31249999939449
  8565  75138221.9036030173                    0                    0
  8566  75138225.1446430087                    0                    0
  8567  75138228.3856830001                    0                    0
  8568  75138231.6267230213                    0                    0
  8569  75138234.8677630126                    0                    0
  8570  75138238.1088030040                    0                    0
  8571  75138241.3498429954                    0                    0
  8572  75138244.5908830166                    0                    0
  8573  75138247.8319230080                    0                    0
  8574  75138251.0729629993                    0                    0
  8575  75138254.3140030205                    0                    0
  8576  75138257.5550430119     0.31249999939449     0.31249999939449
  8577  75138260.7960830033                    0                    0
  8578  75138264.0371229947                    0                    0
  8579  75138267.2781630158                    0                    0
  8580  75138270.5192030072                    0                    0
  8581  75138273.7602429986                    0                    0
  8582  75138277.0012830198                    0                    0
  8583  75138280.2423230112                    0                    0
  8584  75138283.4833630025                    0                    0
  8585  75138286.7244029939                    0                    0
  8586  75138289.9654430151                    0                    0
  8587  75138293.2064830065                    0                    0
  8588  75138296.4475229979                    0                    0
  8589  75138299.6885630190                    0                    0
  8590  75138302.9296030104                    0                    0
  8591  75138306.1706430018                    0                    0
  8592  75138309.4116829932                    0                    0
  8593  75138312.6527230144                    0                    0
  8594  75138315.8937630057                    0                    0
  8595  75138319.1348029971                    0                    0
  8596  75138322.3758430183                    0                    0
  8597  75138325.6168830097     0.31249999939449     0.31249999939449
  8598  75138328.8579230011                    0                    0
  8599  75138332.0989629924                    0                    0
  8600  75138335.3400030136                    0                    0
  8601  75138338.5810430050                    0                    0
  8602  75138341.8220829964                    0                    0
  8603  75138345.0631230175                    0                    0
  8604  75138348.3041630089                    0                    0
  8605  75138351.5452030003                    0                    0
  8606  75138354.7862430215                    0                    0
  8607  75138358.0272830129                    0                    0
  8608  75138361.2683230042                    0                    0
  8609  75138364.5093629956                    0                    0
  8610  75138367.7504030168                    0                    0
  8611  75138370.9914430082                    0                    0
  8612  75138374.2324829996                    0                    0
  8613  75138377.4735230207                    0                    0
  8614  75138380.7145630121                    0                    0
  8615  75138383.9556030035                    0                    0
  8616  75138387.1966429949     0.31249999939449     0.31249999939449
  8617  75138390.4376830161                    0                    0
  8618  75138393.6787230074                    0                    0
  8619  75138396.9197629988                    0                    0
  8620   75138400.160803020                    0                    0
  8621  75138403.4018430114                    0                    0
  8622  75138406.6428830028                    0                    0
  8623  75138409.8839229941                    0                    0
  8624  75138413.1249630153                    0                    0
  8625  75138416.3660030067     0.31249999939449     0.31249999939449
  8626  75138419.6070429981     0.31249999939449     0.31249999939449
  8627  75138422.8480830193                    0                    0
  8628  75138426.0891230106                    0                    0
  8629  75138429.3301630020                    0                    0
  8630  75138432.5712029934                    0                    0
  8631  75138435.8122430146                    0                    0
  8632  75138439.0532830060                    0                    0
  8633  75138442.2943229973                    0                    0
  8634  75138445.5353630185                    0                    0
  8635  75138448.7764030099                    0                    0
  8636  75138452.0174430013                    0                    0
  8637  75138455.2584829926                    0                    0
  8638  75138458.4995230138                    0                    0
  8639  75138461.7405630052                    0                    0
  8640  75138464.9816029966                    0                    0
  8641  75138468.2226430178                    0                    0
  8642  75138471.4636830091                    0                    0
  8643  75138474.7047230005                    0                    0
  8644  75138477.9457629919                    0                    0
  8645  75138481.1868030131                    0                    0
  8646  75138484.4278430045                    0                    0
  8647  75138487.6688829958                    0                    0
  8648  75138490.9099230170                    0                    0
