# time (s), error time (250 s bins), rate, error rate
# converion to flux 1E-12 erg/s/cm2
99245.9062 125 1.8885237 9.52953696E-2 0.998641968
99495.9062 125 1.72650862 8.98481458E-2 1.00448203
99745.9062 125 1.72271848 9.10719037E-2 0.998641968
99995.9062 125 1.71433389 8.96893963E-2 0.998641968
100245.906 125 1.42544878 8.23758915E-2 0.998641968
100495.906 125 1.01325178 6.95104748E-2 0.998641968
100745.906 125 0.827712536 6.41588047E-2 1.00448203
100995.906 125 0.759758949 6.03854544E-2 0.998641968
101245.906 125 0.557734191 5.26312813E-2 0.998641968
101495.906 125 0.451350003 4.77719679E-2 0.998641968
101745.906 125 0.454367489 4.78745289E-2 1.00448203
101995.906 125 0.368534356 4.34953272E-2 0.998641968
102245.906 125 0.391786963 4.429131E-2 0.998641968
102495.906 125 0.309294701 4.01475392E-2 0.998641968
102745.906 125 0.293068439 3.88745777E-2 1.00448203
102995.906 125 0.323088646 3.92622128E-2 0.998641968
103245.906 125 0.263350427 3.79810892E-2 0.998641968
103495.906 125 0.354457945 4.16073091E-2 0.998641968
103745.906 125 0.29012531 3.94225158E-2 0.998641968
103995.906 125 0.217389032 3.36565338E-2 1.00448203
104245.906 125 0.272561044 3.77850235E-2 0.998641968
104495.906 125 0.227606758 3.51168215E-2 0.998641968
104745.906 125 0.327189684 4.11779992E-2 0.998641968
104995.906 125 0.339407176 4.05621007E-2 1.00448203
105245.906 125 0.257168055 3.65519971E-2 0.998641968
105495.906 125 0.238311708 3.5830263E-2 0.998641968
105745.906 125 0.387378573 4.35684323E-2 0.998641968
105995.906 125 0.393158615 4.74425666E-2 0.870161355
106245.906 125 0.301246256 3.94163504E-2 0.998641968
106495.906 125 0.254927576 3.59346047E-2 0.998641968
106745.906 125 0.289841592 3.85877565E-2 0.998641968
106995.906 125 0.330662131 4.07640897E-2 1.00448203
107245.906 125 0.244424522 3.73702087E-2 0.998641968
107495.906 125 0.270256132 3.75255011E-2 0.998641968
