timeobs	terr1	terr2	flux	ferr1	ferr2
1887125.626	191.622	-198.188	4.086557223e-11	2.494847145e-12	-2.682725451e-12
1887692.292	396.625	-375.043	3.894495171e-11	1.748253759e-12	-1.984907337e-12
1891846.187	171.397	-195.405	4.106118723e-11	2.504715318e-12	-2.693638353e-12
1892211.649	177.188	-194.065	3.976742826e-11	2.476931226e-12	-2.656381665e-12
1892575.635	175.741	-186.798	4.099403574e-11	2.538369792e-12	-2.72437116e-12
1893060.178	309.235	-308.802	4.297297851e-11	1.973807514e-12	-2.229705261e-12
1898985.746	233.303	-243.77	3.119705211e-11	1.954629516e-12	-2.094633345e-12
1899456.706	212.904	-237.657	3.421541571e-11	2.120074404e-12	-2.275221249e-12
1909166.025	119.503	-131.627	5.96079477e-11	3.611006532e-12	-3.887031855e-12
1909417.245	128.148	-131.717	5.69823114e-11	3.497272107e-12	-3.75795735e-12
1909690.012	151.742	-144.619	5.06013984e-11	3.068239629e-12	-3.302356491e-12
1909969.962	117.500	-128.208	6.10570443e-11	3.695364414e-12	-3.978343488e-12
1910194.280	99.620	-106.818	7.43684277e-11	4.398892071e-12	-4.750979268e-12
1910381.736	83.485	-87.835	8.91537339e-11	5.29269468e-12	-5.7133587e-12
1910578.120	131.141	-112.899	8.00751693e-11	4.213201272e-12	-4.635300285e-12
1916202.833	109.347	-120.604	6.70201623e-11	4.001937555e-12	-4.316465223e-12
1916426.259	112.185	-114.079	6.78234396e-11	4.046614572e-12	-4.365152106e-12
1916655.672	113.273	-117.227	6.63890745e-11	3.967481301e-12	-4.278812475e-12
1916896.737	112.057	-127.792	7.42942872e-11	4.146775731e-12	-4.517840481e-12
1921809.424	88.219	-88.011	8.95905108e-11	5.30648433e-12	-5.73010431e-12
1921995.621	97.529	-97.978	8.05945875e-11	4.796893731e-12	-5.17626753e-12
1922185.403	90.020	-92.253	8.55572676e-11	5.11715316e-12	-5.51807214e-12
1922365.024	96.073	-89.601	8.38828032e-11	5.00885007e-12	-5.40251439e-12
1922602.498	167.171	-141.402	6.74090739e-11	3.48531834e-12	-3.846331377e-12
1926770.837	199.344	-199.206	6.98988423e-11	4.294176222e-12	-4.613664783e-12
1927149.450	156.649	-179.27	8.09389182e-11	4.86473253e-12	-5.2422888e-12
1927474.615	178.811	-168.516	7.72765224e-11	4.695506235e-12	-5.05234422e-12
1927963.268	325.925	-309.842	6.13709943e-11	3.15959763e-12	-3.489547971e-12
1932505.381	101.437	-114.55	7.15088262e-11	4.259574102e-12	-4.595926608e-12
1932732.464	124.326	-125.645	6.12805284e-11	3.671149692e-12	-3.957873465e-12
1932973.593	127.977	-116.803	6.28620153e-11	3.738438837e-12	-4.034564205e-12
1933237.174	149.639	-135.604	5.36239158e-11	3.209844603e-12	-3.460933602e-12
1933531.050	124.637	-144.238	5.65901154e-11	3.406818282e-12	-3.670394763e-12
1933878.512	230.949	-222.824	5.44052649e-11	2.56425666e-12	-2.880892623e-12
1937940.721	90.895	-85.292	9.50378814e-11	5.71208358e-12	-6.15540996e-12
1938136.507	98.754	-104.892	8.2609422e-11	4.94487189e-12	-5.33168244e-12
1938333.424	114.416	-98.164	7.89568794e-11	4.722390015e-12	-5.09238009e-12
1938584.394	131.478	-136.553	8.41201977e-11	4.333498701e-12	-4.785501693e-12
